title,slug,description,externalUrl,videoUrl,slidesUrl,keyAssetUrl,transcriptURL,hub,format,type,tags,boards,publishDate,presenter,duration
Sidekick for Zendesk One Pager,sidekick-zendesk-one-pager,One-pager for Sidekick for Zendesk Customer AI replacing generic responses with resolutions.,https://drive.google.com/file/d/1T_jQJ4ERy44OTzj-i_7ZNF-QFeRIso66/view,,,,,content,pdf,one-pager,one-pager|sidekick-standalone|zendesk|resolutions|ai-agents,content-types|sales|csm,12/28/2025,,
Guides and Journeys One Pager,guides-journeys-one-pager,Product one-pager for Guides and Journeys for Sidekick empowering teams with natural language AI.,https://drive.google.com/file/d/1AqXx3BV7UtlUeiovr20Dsc1Rc2qS-u9f/view,,,,,content,pdf,one-pager,one-pager|guides|journeys|sidekick|natural-language|ai-strategy,content-types|sales|csm|product,12/28/2025,,
Sidekick Sales One Pager,sidekick-sales-one-pager,One-pager for Sidekick Sales Customer AI solution for smarter selling.,https://drive.google.com/file/d/1AHjfTM6Lw9BoRX7tcCs6IVgXWBL7UdbL/view,,,,,content,pdf,one-pager,one-pager|sidekick-sales|revenue|ecommerce|upsell,content-types|sales,12/28/2025,,
Sidekick Voice One Pager,sidekick-voice-one-pager,Product one-pager for Sidekick Voice AI-powered instant personalized voice experience.,https://drive.google.com/file/d/1wxAKviS7giWFTpBeAyQBpafinG9gjk-n/view,,,,,content,pdf,one-pager,one-pager|sidekick-voice|ai-voice|personalization|ivr,content-types|sales|csm|product,12/28/2025,,
Sidekick Sales One Pager Revenue,sidekick-sales-one-pager-revenue,One-pager for Sidekick Sales turning conversations into revenue across touchpoints.,https://drive.google.com/file/d/1AHjfTM6Lw9BoRX7tcCs6IVgXWBL7UdbL/view,,,,,content,pdf,one-pager,one-pager|sidekick-sales|revenue|omnichannel|journeys,content-types|sales,12/28/2025,,
Sidekick Voice One Pager Generative,sidekick-voice-one-pager-generative,Product one-pager for Sidekick Voice leveraging generative AI for frictionless support.,https://drive.google.com/file/d/1wxAKviS7giWFTpBeAyQBpafinG9gjk-n/view,,,,,content,pdf,one-pager,one-pager|sidekick-voice|generative-ai|voice|support,content-types|sales|csm,12/28/2025,,
Sidekick Email Generic One Pager,sidekick-email-one-pager,Sidekick Email one-pager with follow-up template and outreach guidelines.,https://drive.google.com/file/d/1QqgQC4Guc2cbxU1gv335XLUcpNkvbHvI/view,,,,,content,pdf,one-pager,one-pager|sidekick-email|email-channel|automation|ai-agents,content-types|sales|csm,12/28/2025,,
Self-Guided Implementation One Pager,self-guided-implementation-one-pager,One-pager for Self-Guided Gladly Implementation for teams under 10 agents.,https://drive.google.com/file/d/1w4S1IzIN7-JEjyi_7UhhWWc0LG0Bpd6s/view,,,,,content,pdf,one-pager,one-pager|implementation|self-guided|smb|onboarding,content-types|sc,12/28/2025,,
Gladly Eliminates Silos One Pager,gladly-eliminates-silos-one-pager,Use Case One Pager showing how Gladly breaks siloed support experiences.,https://drive.google.com/file/d/1pY4hOMPc7YhXm2AskFHACR6Zw33MDcnR/view,,,,,content,pdf,one-pager,one-pager|use-case|silos|unified|omnichannel|sidekick,content-types|sales|csm,12/28/2025,,
Online Marketplace Vertical One Pager,online-marketplace-one-pager,Vertical One Pager for Marketplace Solutions delivering trust at scale.,https://drive.google.com/file/d/1CRXgCgj_ruiJ0Clpjzb6UevL14WIXqRg/view,,,,,content,pdf,one-pager,one-pager|marketplace|vertical|ecommerce|scale,content-types|sales,12/28/2025,,
Travel Hospitality Vertical One Pager,travel-hospitality-one-pager,Datasheet for Gladly AI-powered customer-centric service in travel and hospitality.,https://drive.google.com/file/d/1Mu1MGPsSrE8ShpCKaCNS6ISQrTox3dfi/view,,,,,content,pdf,one-pager,one-pager|travel|hospitality|vertical|guest-experience,content-types|sales,12/28/2025,,
Gladly Customer AI Video,gladly-customer-ai-video,Video highlighting Customer AI approach to fundamentally different CX.,https://gladly.wistia.com/medias/1gkuxekq2f,,,,,content,video,product,video|customer-ai|platform|innovation|overview,content-types|sales|csm,12/28/2025,,
201 SC Implementation Template,201-sc-implementation-template,Implementation Template 201 SC for Solutions Consultants during scoping phase.,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit,,,,,content,slides,template,template|implementation|sc|scoping|201|proposal,content-types|sc,12/28/2025,,
Roadmap Figma Prototypes,roadmap-figma-prototypes,Product Prototypes and Scripts 2025 with Guides and Sidekick Sales prototypes.,https://docs.google.com/document/d/10YIgb8-OUFY7K_fbhXZByC30PqgLfDZ4HLPqN-9e6Go/edit,,,,,content,document,prototype,prototype|roadmap|guides|sidekick-sales|figma,content-types|sc|product,12/28/2025,,
Zendesk Demo Mockup,zendesk-demo-mockup,Demo mockup showing Sidekick integration with Zendesk environment.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone,,,,,content,prototype,demo,prototype|demo|zendesk|sidekick-standalone|figma,demo|sales|sc,12/28/2025,,
Kustomer Demo Mockup,kustomer-demo-mockup,Demo mockup showing Sidekick integration with Kustomer environment.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone,,,,,content,prototype,demo,prototype|demo|kustomer|sidekick-standalone|figma,demo|sales|sc,12/28/2025,,
Salesforce Demo Mockup,salesforce-demo-mockup,Demo mockup showing Sidekick integration with Salesforce Service Cloud.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone,,,,,content,prototype,demo,prototype|demo|salesforce|sidekick-standalone|figma,demo|sales|sc,12/28/2025,,
Gorgias Demo Mockup,gorgias-demo-mockup,Demo mockup showing Sidekick integration with Gorgias environment.,https://www.figma.com/proto/JVHhluYSGETGxAxvq4TqOz/Sidekick-Standalone,,,,,content,prototype,demo,prototype|demo|gorgias|sidekick-standalone|figma,demo|sales|sc,12/28/2025,,
Guides Sales Prototype,guides-sales-prototype,Product Prototypes 2025 with Guides Prototype and Sidekick Sales scripts and directions.,https://docs.google.com/document/d/10YIgb8-OUFY7K_fbhXZByC30PqgLfDZ4HLPqN-9e6Go/edit,,,,,content,document,prototype,prototype|guides|sidekick-sales|scripts|roadmap,content-types|sc|product,12/28/2025,,
Strategic Discovery Questions SC,strategic-discovery-questions-sc,Strategic guide with categorized discovery questions for Solutions Consultants.,https://docs.google.com/document/d/1ZFZplRWjxyZ7AUeTZz8Ky7NGsTT_JS8TeZz0_nbGFq8/edit,,,,,coe,document,tool,tool|discovery|questions|sc|methodology|sales-process,coe|sc|sales,12/28/2025,,
Agent Communication Time Metric Play,agent-communication-time-play,Usage Guide for CSMs on Agent Communication Time savings metric and dashboards.,https://docs.google.com/document/d/1WmWw8trPMQW0Pjedem1XZpU1BnckACMhdBs9D-fhb5I/edit,,,,,coe,document,tool,tool|act|metrics|dashboards|csm|sidekick,coe|csm,12/28/2025,,
Pipeline Reporting EOQ Documentation,pipeline-reporting-eoq,Sales pipeline and opportunity tracker synced to Salesforce.,https://docs.google.com/spreadsheets/d/11XMQOYakYqJPk7QdEZGKGdPa1mgOAe_N_XWSSPEROHk/edit,,,,,coe,sheet,tool,tool|pipeline|reporting|salesforce|eoq|sales-ops,coe|sales,12/28/2025,,
Sidekick Sales Video,sidekick-sales-video,Video showing Sidekick Sales solution for retail revenue growth with customer AI.,https://gladly.wistia.com/medias/85i16s6k7a,,,,,content,video,product,video|sidekick-sales|retail|revenue|ai|ecommerce,content-types|sales,12/28/2025,,
Gladly Demo 2025,gladly-demo-2025,Video of Julie Chang experiencing personalized Sidekick AI service at Retali Outdoors.,https://gladly.wistia.com/medias/mrye3schxt,,,,,content,video,demo,video|demo|sidekick|personalization|retail|customer-experience,demo|sales|csm,12/28/2025,,
Sidekick Sales Video Retail,sidekick-sales-video-retail,Video on Sidekick Sales for retail cost challenges with customer AI solution.,https://gladly.wistia.com/medias/85i16s6k7a,,,,,content,video,product,video|sidekick-sales|retail|cost-savings|ai,content-types|sales,12/28/2025,,
Sidekick Standalone Video,sidekick-standalone-video,Video on AI improving CX contrasting traditional solutions that sacrifice experience.,https://gladly.wistia.com/medias/mwar81dg26,,,,,content,video,product,video|sidekick-standalone|ai|cx|efficiency|personalization,content-types|sales|csm,12/28/2025,,
Sidekick Voice Video,sidekick-voice-video,Video addressing customer frustration with wait times and transfers on voice.,https://gladly.wistia.com/medias/62ev998jm3,,,,,content,video,product,video|sidekick-voice|wait-times|voice|ai|support,content-types|sales|csm|product,12/28/2025,,
How to Set Up an App,how-to-setup-app-video,Video guide for integrating apps built by Gladly on the platform.,https://gladly.wistia.com/medias/pd782zyft1,,,,,content,video,guide,video|app-platform|integration|setup|guide|tutorial,content-types|sales|csm|product,12/28/2025,,
Sidekick Standalone Video CX,sidekick-standalone-video-cx,Video on AI improving customer experience beyond cost-cutting AI solutions.,https://gladly.wistia.com/medias/mwar81dg26,,,,,content,video,product,video|sidekick-standalone|cx|ai|efficiency|experience,content-types|sales|csm,12/28/2025,,
Sidekick Sales Video Budgets,sidekick-sales-video-budgets,Video on Sidekick Sales addressing tight retail budgets with customer AI.,https://gladly.wistia.com/medias/85i16s6k7a,,,,,content,video,product,video|sidekick-sales|retail|budget|revenue|roi,content-types|sales,12/28/2025,,
Sidekick Voice vs The Rest,sidekick-voice-vs-rest,Video comparing Sidekick Voice customer interaction to traditional support.,https://gladly.wistia.com/medias/60zhas178n,,,,,content,video,product,video|sidekick-voice|comparison|voice|support|differentiation,content-types|sales|csm,12/28/2025,,
Sidekick Email Video,sidekick-email-video,Video showcasing Sidekick for personal and intelligent email responses.,https://gladly.wistia.com/medias/zpzwcogrr5,,,,,content,video,product,video|sidekick-email|email|personalization|ai|automation,content-types|sales|csm,12/28/2025,,
Gladly Customer AI Launch Video,gladly-customer-ai-launch-video,Video on Customer AI solving personalized service and cost-effectiveness tradeoffs.,https://gladly.wistia.com/medias/6j0k6m70k1,,,,,content,video,product,video|customer-ai|launch|personalization|cost-savings|platform,content-types|sales|csm,12/28/2025,,
Refuse to Compromise Keynote,refuse-to-compromise-keynote,Keynote video on CX demands for faster service and personalization without tradeoffs.,https://gladly.wistia.com/medias/9pmw3hcu1b,,,,,content,video,product,video|keynote|cx|personalization|efficiency|customer-ai,content-types|sales|csm,12/28/2025,,
Customer AI Video 30 sec,customer-ai-video-30sec,30-second video highlighting Gladly Customer AI platform integration.,https://gladly.wistia.com/medias/9u1ti1dmce,,,,,content,video,product,video|customer-ai|short-form|platform|overview,content-types|sales,12/28/2025,,
Gladly Sidekick Video,gladly-sidekick-video,Video on Sidekick providing human-like interaction beyond deflection AI.,https://gladly.wistia.com/medias/xzm9o5gpsl,,,,,content,video,product,video|sidekick|human-like|ai|engagement|journeys,content-types|sales|csm,12/28/2025,,
Social Comments Video,social-comments-video,Video for agents on managing social media comments through unified interface.,https://gladly.wistia.com/medias/4xt2udvwas,,,,,content,video,guide,video|social-comments|social-media|channels|agents|tutorial,content-types|sales|csm,12/28/2025,,
Call Scripts,call-scripts-apex,Internal Facing APEX Outbound messaging with GTM strategy for Sidekick.,https://docs.google.com/document/d/1vgX7fLSS2w7BKs2J3IzU_OOml4-LcDY-1SU1jqv4j3c/edit,,,,,content,document,messaging,messaging|call-scripts|apex|outbound|gtm|sidekick,content-types|sales,12/28/2025,,
Sidekick Sales Market Analysis,sidekick-sales-market-analysis,Market research report on retail ecommerce AI product recommendation market.,https://drive.google.com/file/d/1v_igXahYX3M-1WvqIywWBDMVDud9TxBv/view,,,,,content,pdf,guide,guide|sidekick-sales|market-analysis|retail|ecommerce|research,content-types|sales,12/28/2025,,
Sales Marketing Org Chart,sales-marketing-org-chart,Sales Org Chart spreadsheet directory for Sales and Marketing organizations.,https://docs.google.com/spreadsheets/d/1Dv2ePK-KcJlB0wu-en-hpKzO6titiAvG5Uj3xnmrZIs/edit,,,,,coe,sheet,tool,tool|org-chart|sales|marketing|directory|team,coe|sales,12/28/2025,,
